glyph_name,rename,usv
PlusSgn,plus,002B
Comma,comma,002C
FullStop,period,002E
Colon,colon,003A
Semicolon,semicolon,003B
LTSgn,less,003C
EqSgn,equal,003D
GTSgn,greater,003E
LftPtngDblAngQuotMrk,guillemotleft,00AB
PlusMinusSgn,plusminus,00B1
MiddleDot,periodcentered,00B7
RtPtngDblAngQuotMrk,guillemotright,00BB
MultSgn,multiply,00D7
DivSgn,divide,00F7
ModTriangularColon,colontriangularmod,02D0
HorizEllipsis,ellipsis,2026
HyphenationPt,,2027
SglLftPtngAngQuotMrk,guilsinglleft,2039
SglRtPtngAngQuotMrk,guilsinglright,203A
BulletOperator,bulletoperator,2219
SqrRoot,radical,221A
Infinity,infinity,221E
Integral,integral,222B
AlmostEqTo,approxequal,2248
NotEqTo,notequal,2260
LTOrEqTo,lessequal,2264
GTOrEqTo,greaterequal,2265
